local_time,region1-1
01/01/2019,2609952
02/01/2019,175995
03/01/2019,379175
04/01/2019,1024011
05/01/2019,865567
06/01/2019,758963
07/01/2019,2202283
08/01/2019,2714132
09/01/2019,559095
10/01/2019,1840947
11/01/2019,1832525
12/01/2019,2795994
13/01/2019,2573350
14/01/2019,1766108
15/01/2019,1848987
16/01/2019,1745790
17/01/2019,1747662
18/01/2019,1712321
19/01/2019,484197
20/01/2019,1423149
21/01/2019,2383350
22/01/2019,1103737
23/01/2019,542287
24/01/2019,201610
25/01/2019,2458044
26/01/2019,1794464
27/01/2019,2877384
28/01/2019,883697
29/01/2019,728072
30/01/2019,1789731
31/01/2019,533335
01/02/2019,919276
02/02/2019,1434007
03/02/2019,1840071
04/02/2019,1850930
05/02/2019,1556513
06/02/2019,2062126
07/02/2019,414562
08/02/2019,2701793
09/02/2019,2964065
10/02/2019,2072266
11/02/2019,603370
12/02/2019,2767753
13/02/2019,2436348
14/02/2019,1917706
15/02/2019,2380801
16/02/2019,1425071
17/02/2019,2867978
18/02/2019,2843949
19/02/2019,1247564
20/02/2019,1891298
21/02/2019,733912
22/02/2019,2526517
23/02/2019,2618930
24/02/2019,1502218
25/02/2019,754855
26/02/2019,625288
27/02/2019,172629
28/02/2019,573681
01/03/2019,902258
02/03/2019,1494844
03/03/2019,2046721
04/03/2019,1476069
05/03/2019,263723
06/03/2019,2215247
07/03/2019,2791725
08/03/2019,1093950
09/03/2019,2840502
10/03/2019,1458118
11/03/2019,2602833
12/03/2019,2783594
13/03/2019,2597488
14/03/2019,2508842
15/03/2019,2515102
16/03/2019,997839
17/03/2019,2560556
18/03/2019,434493
19/03/2019,2078638
20/03/2019,2045995
21/03/2019,1697028
22/03/2019,2939154
23/03/2019,2847303
24/03/2019,2957579
25/03/2019,1692064
26/03/2019,2613377
27/03/2019,2610402
28/03/2019,2922305
29/03/2019,2006869
30/03/2019,1409614
31/03/2019,537052
01/04/2019,2158457
02/04/2019,1246487
03/04/2019,2112848
04/04/2019,1561675
05/04/2019,868926
06/04/2019,1559005
07/04/2019,2384513
08/04/2019,676779
09/04/2019,797520
10/04/2019,52774
11/04/2019,69291
12/04/2019,2202411
13/04/2019,2901679
14/04/2019,2780974
15/04/2019,2939915
16/04/2019,2884226
17/04/2019,2198945
18/04/2019,2038322
19/04/2019,2739747
20/04/2019,635221
21/04/2019,534127
22/04/2019,2823194
23/04/2019,2820213
24/04/2019,2730115
25/04/2019,2317889
26/04/2019,2778511
27/04/2019,661679
28/04/2019,385749
29/04/2019,1189649
30/04/2019,255359
01/05/2019,66636
02/05/2019,1371414
03/05/2019,2377855
04/05/2019,2408626
05/05/2019,2534715
06/05/2019,626114
07/05/2019,82371
08/05/2019,1101262
09/05/2019,241147
10/05/2019,111397
11/05/2019,579941
12/05/2019,195030
13/05/2019,358814
14/05/2019,261495
15/05/2019,1526558
16/05/2019,2767922
17/05/2019,580700
18/05/2019,332513
19/05/2019,156496
20/05/2019,109319
21/05/2019,770496
22/05/2019,1060257
23/05/2019,1492153
24/05/2019,1376569
25/05/2019,339698
26/05/2019,1624898
27/05/2019,490340
28/05/2019,598509
29/05/2019,330006
30/05/2019,269362
31/05/2019,1368742
01/06/2019,1329905
02/06/2019,1707901
03/06/2019,2115224
04/06/2019,311487
05/06/2019,1050600
06/06/2019,339488
07/06/2019,946150
08/06/2019,658315
09/06/2019,153219
10/06/2019,155216
11/06/2019,1494074
12/06/2019,2883296
13/06/2019,2231021
14/06/2019,2596346
15/06/2019,1931627
16/06/2019,860987
17/06/2019,933964
18/06/2019,2243237
19/06/2019,675207
20/06/2019,1274626
21/06/2019,1114935
22/06/2019,208294
23/06/2019,1012444
24/06/2019,1896442
25/06/2019,1339121
26/06/2019,887530
27/06/2019,442377
28/06/2019,1363414
29/06/2019,554766
30/06/2019,1749145
01/07/2019,2415717
02/07/2019,1551990
03/07/2019,1445646
04/07/2019,2361801
05/07/2019,1078351
06/07/2019,1445951
07/07/2019,1592840
08/07/2019,465832
09/07/2019,382829
10/07/2019,308912
11/07/2019,116431
12/07/2019,161927
13/07/2019,831710
14/07/2019,332422
15/07/2019,72822
16/07/2019,128357
17/07/2019,1093579
18/07/2019,260339
19/07/2019,953322
20/07/2019,466150
21/07/2019,1174421
22/07/2019,943757
23/07/2019,1127358
24/07/2019,1499858
25/07/2019,1808864
26/07/2019,1399122
27/07/2019,1247512
28/07/2019,1472650
29/07/2019,521181
30/07/2019,59675
31/07/2019,105397
01/08/2019,107414
02/08/2019,41260
03/08/2019,44058
04/08/2019,1107244
05/08/2019,879935
06/08/2019,95706
07/08/2019,1359654
08/08/2019,921608
09/08/2019,2151545
10/08/2019,281096
11/08/2019,1968567
12/08/2019,251706
13/08/2019,90216
14/08/2019,62618
15/08/2019,1227988
16/08/2019,1988261
17/08/2019,1784156
18/08/2019,1768813
19/08/2019,654737
20/08/2019,457714
21/08/2019,1408069
22/08/2019,2296559
23/08/2019,1686515
24/08/2019,1360492
25/08/2019,1040266
26/08/2019,1284973
27/08/2019,494802
28/08/2019,1391197
29/08/2019,2130610
30/08/2019,1487872
31/08/2019,1451054
01/09/2019,1026506
02/09/2019,1342148
03/09/2019,841694
04/09/2019,1615104
05/09/2019,1918532
06/09/2019,2230495
07/09/2019,666510
08/09/2019,776363
09/09/2019,1701333
10/09/2019,1132118
11/09/2019,2764600
12/09/2019,2059742
13/09/2019,2548565
14/09/2019,2860810
15/09/2019,2553362
16/09/2019,2466256
17/09/2019,1783363
18/09/2019,226009
19/09/2019,264259
20/09/2019,804889
21/09/2019,2629476
22/09/2019,2593833
23/09/2019,2270708
24/09/2019,2571357
25/09/2019,2788302
26/09/2019,1597142
27/09/2019,82680
28/09/2019,559606
29/09/2019,726093
30/09/2019,982241
01/10/2019,1596233
02/10/2019,2383305
03/10/2019,1619735
04/10/2019,1451464
05/10/2019,2318516
06/10/2019,2947954
07/10/2019,2729598
08/10/2019,2654992
09/10/2019,2952374
10/10/2019,1781990
11/10/2019,2093721
12/10/2019,1339066
13/10/2019,118116
14/10/2019,67252
15/10/2019,602669
16/10/2019,836540
17/10/2019,645147
18/10/2019,1697778
19/10/2019,2573111
20/10/2019,2150317
21/10/2019,1529291
22/10/2019,2880278
23/10/2019,2714771
24/10/2019,2615203
25/10/2019,2870134
26/10/2019,2917115
27/10/2019,2409121
28/10/2019,1254636
29/10/2019,167469
30/10/2019,18251
31/10/2019,873379
01/11/2019,2124071
02/11/2019,2887632
03/11/2019,2884280
04/11/2019,2737106
05/11/2019,994180
06/11/2019,214628
07/11/2019,2165594
08/11/2019,644009
09/11/2019,907877
10/11/2019,1212161
11/11/2019,1419197
12/11/2019,2007819
13/11/2019,264580
14/11/2019,2135334
15/11/2019,642972
16/11/2019,45805
17/11/2019,461937
18/11/2019,302947
19/11/2019,1469235
20/11/2019,2868213
21/11/2019,2289721
22/11/2019,1622544
23/11/2019,1792021
24/11/2019,2194137
25/11/2019,990172
26/11/2019,2693928
27/11/2019,2886353
28/11/2019,2751152
29/11/2019,1263750
30/11/2019,350027
01/12/2019,1735362
02/12/2019,1970524
03/12/2019,2180176
04/12/2019,2796161
05/12/2019,2340400
06/12/2019,1090373
07/12/2019,1810240
08/12/2019,2855329
09/12/2019,2053107
10/12/2019,2876587
11/12/2019,2886561
12/12/2019,1444215
13/12/2019,1132014
14/12/2019,915897
15/12/2019,1205812
16/12/2019,124417
17/12/2019,93303
18/12/2019,1026032
19/12/2019,1606689
20/12/2019,1238415
21/12/2019,1091741
22/12/2019,50965
23/12/2019,35873
24/12/2019,23290
25/12/2019,73548
26/12/2019,734062
27/12/2019,955294
28/12/2019,917363
29/12/2019,968398
30/12/2019,721977
31/12/2019,506220
